C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90
2018-03-23T00:00:00.000Z,-16.885208129882812,-7.5348615646362305,-13.065272120364554,1.065862168633392,97022,73609,-13.072280883789062,-14.382343292236328,-11.836288452148438
2018-04-04T00:00:00.000Z,-17.28449249267578,-7.110940933227539,-13.19298301221506,1.0777631204448495,97022,73609,-13.201807975769043,-14.546928405761719,-11.898578643798828
2018-04-16T00:00:00.000Z,-16.464195251464844,-7.263199806213379,-13.051531451752325,0.9482728647707063,97022,73609,-13.041083335876465,-14.205581665039062,-11.944120407104492
2018-04-22T00:00:00.000Z,-16.7692813873291,-7.558656692504883,-13.112168790030065,0.9466919235638027,97022,73609,-13.109331130981445,-14.280241012573242,-12.022746086120605
2018-04-28T00:00:00.000Z,-16.85407066345215,-7.333561420440674,-13.019824594647499,0.9787391865796903,97022,73609,-13.01469898223877,-14.222358703613281,-11.894299507141113
2018-05-04T00:00:00.000Z,-16.311050415039062,-6.688198566436768,-11.416122039624211,0.9577402970421381,97022,73609,-11.387770652770996,-12.61161994934082,-10.245387077331543
2018-05-10T00:00:00.000Z,-22.166574478149414,-8.909651756286621,-14.128053562270415,1.1941219189966823,97022,73609,-14.038415908813477,-15.55945110321045,-12.791818618774414
2018-05-22T00:00:00.000Z,-19.332090377807617,-4.7913923263549805,-9.952427792466628,2.0574903868323604,97022,73609,-9.521781921386719,-12.896807670593262,-7.701966285705566
2018-05-28T00:00:00.000Z,-19.95191764831543,-5.908766269683838,-10.585654094004985,2.325703514686657,97022,73609,-10.055305480957031,-13.646240234375,-8.215997695922852
2018-06-03T00:00:00.000Z,-19.86385726928711,-4.6362199783325195,-9.298201147089294,2.01795325734384,97022,73609,-8.885525703430176,-12.132582664489746,-7.207001209259033
2018-06-09T00:00:00.000Z,-19.640657424926758,-4.66649866104126,-9.112760349955954,1.6650900931359105,97022,73609,-8.854439735412598,-11.351991653442383,-7.296054363250732
2018-06-15T00:00:00.000Z,-18.238941192626953,-4.418377876281738,-9.164443997160102,1.555603672472725,97022,73609,-8.97148609161377,-11.171534538269043,-7.409262180328369
2018-06-21T00:00:00.000Z,-24.763072967529297,-4.552478313446045,-9.690476785866768,1.7775869289399513,97022,73609,-9.441925048828125,-11.900630950927734,-7.839158058166504
2018-06-27T00:00:00.000Z,-18.433340072631836,-4.479266166687012,-10.002445065348486,1.7094185634054833,97022,73609,-9.799880027770996,-12.221142768859863,-8.138931274414062
2018-07-03T00:00:00.000Z,-22.30834197998047,-4.992751598358154,-9.977579043115535,1.7457149482358842,97022,73609,-9.766021728515625,-12.025482177734375,-8.119837760925293
2018-07-09T00:00:00.000Z,-18.408849716186523,-5.217514514923096,-10.553660639703068,1.6527837570912567,97022,73609,-10.441110610961914,-12.526622772216797,-8.665307998657227
2018-07-15T00:00:00.000Z,-26.065147399902344,-4.967297077178955,-10.194135614224127,1.8835166812326611,97022,73609,-9.960533142089844,-12.156673431396484,-8.29849910736084
2018-07-21T00:00:00.000Z,-18.54791831970215,-4.501585006713867,-9.63271787127592,1.7170137103564136,97022,73609,-9.39950180053711,-11.602150917053223,-7.828048229217529
2018-07-27T00:00:00.000Z,-19.45284080505371,-4.93483829498291,-9.857581916177349,1.68806930724114,97022,73609,-9.68293285369873,-11.832345008850098,-7.974171161651611
2018-08-02T00:00:00.000Z,-22.02133560180664,-5.189583778381348,-10.729846146188912,1.8105235949928116,97022,73609,-10.567753791809082,-12.885242462158203,-8.716670989990234
2018-08-08T00:00:00.000Z,-24.436729431152344,-5.509220600128174,-10.703313728697122,1.7837718125591429,97022,73609,-10.582670211791992,-12.746027946472168,-8.707084655761719
2018-08-14T00:00:00.000Z,-28.118215560913086,-5.78947639465332,-11.277102062806359,1.8363440224527496,97022,73609,-11.227644920349121,-13.298539161682129,-9.155285835266113
2018-08-20T00:00:00.000Z,-23.99686050415039,-4.997067451477051,-9.370999190847428,1.7158310255462035,97022,73609,-9.107051849365234,-11.27567195892334,-7.721604347229004
2018-08-26T00:00:00.000Z,-26.760435104370117,-5.563642501831055,-10.317570128017449,1.8120027601664623,97022,73609,-10.072314262390137,-12.310531616210938,-8.479616165161133
2018-09-01T00:00:00.000Z,-22.657878875732422,-3.8247408866882324,-8.753104730504349,2.0493456113605233,97022,73609,-8.353644371032715,-11.027290344238281,-6.856996536254883
2018-09-07T00:00:00.000Z,-27.78046417236328,-5.019791603088379,-10.68892872571303,1.8152245478949676,97022,73609,-10.506742477416992,-12.502415657043457,-8.925788879394531
2018-09-13T00:00:00.000Z,-21.65011215209961,-6.189963340759277,-12.503747376363897,1.6280135459669847,97022,73609,-12.44748592376709,-14.417196273803711,-10.568796157836914
2018-09-19T00:00:00.000Z,-23.9843807220459,-6.346246719360352,-14.096974707605069,1.6882154891260255,97022,73609,-14.157756805419922,-15.976130485534668,-12.10047721862793
2018-09-25T00:00:00.000Z,-24.816444396972656,-4.860025882720947,-9.801335642187397,2.149844510850063,97022,73609,-9.28029727935791,-12.77291202545166,-7.624167442321777
2018-10-01T00:00:00.000Z,-25.038818359375,-7.473810195922852,-15.05861416658545,1.770761873189024,97022,73609,-15.143067359924316,-16.922046661376953,-13.022932052612305
2018-10-07T00:00:00.000Z,-24.117900848388672,-8.088274002075195,-15.47279194584306,1.6751086203792294,97022,73609,-15.583125114440918,-17.232772827148438,-13.44350814819336
2018-10-13T00:00:00.000Z,-18.787324905395508,-5.716675281524658,-11.446054105873184,1.304002327915172,97022,73609,-11.347526550292969,-13.196822166442871,-9.874014854431152
2018-10-19T00:00:00.000Z,-24.382970809936523,-6.284642219543457,-14.918827355577536,1.8440097478908006,97022,73609,-14.94810676574707,-16.93024444580078,-12.8381929397583
2018-10-25T00:00:00.000Z,-25.569974899291992,-7.7163214683532715,-13.932593925899527,1.6332394085530817,97022,73609,-13.912395477294922,-15.812868118286133,-12.047493934631348
2018-10-31T00:00:00.000Z,-21.288238525390625,-9.08590030670166,-14.343579212461202,1.3227927382972846,97022,73609,-14.34300422668457,-15.839583396911621,-12.83777141571045
2018-11-06T00:00:00.000Z,-20.626506805419922,-8.27968978881836,-13.943601944198662,1.3145746690726985,97022,73609,-13.94887924194336,-15.356231689453125,-12.489477157592773
2018-11-12T00:00:00.000Z,-21.802648544311523,-7.702871799468994,-14.273978998887744,1.4781546553668459,97022,73609,-14.18277645111084,-16.091781616210938,-12.706942558288574
2018-11-30T00:00:00.000Z,-21.762264251708984,-7.507380962371826,-14.798350727075029,1.531069624591733,97022,73609,-14.79312515258789,-16.507095336914062,-13.113758087158203
